DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Podkerepušky;Podkerepušky;840 08;Bratislava 48;Bratislava 48;;Bratislava
Podkolibská;Podkolibská;831 01;Bratislava 37;Bratislava 37;;Bratislava
Podkorunská;Podkorunská;841 10;Bratislava 49;Bratislava 49;;Bratislava
Podlesná;Podlesná;841 03;Bratislava 42;Bratislava 42;;Bratislava
Podlučinského;Podlučinského;821 03;Bratislava 3;Bratislava 3;;Bratislava
Podniková;Podniková;831 02;Bratislava 3;Bratislava 3;;Bratislava
Podpriehradná;Podpriehradná;821 07;Bratislava 214;Bratislava 214;;Bratislava
Podtatranského;Podtatranského;811 05;Bratislava 1;Bratislava 1;;Bratislava
Podunajská;Podunajská;821 06;Bratislava 214;Bratislava 214;"pár.č. 22-28; nepár.č. 1-31, 23A";Bratislava
Podunajská;Podunajská;821 07;Bratislava 214;Bratislava 214;pár.č. 38-56;Bratislava
Podzáhradná;Podzáhradná;821 06;Bratislava 214;Bratislava 214;okrem č. 51;Bratislava
Podzáhradná;Podzáhradná;821 07;Bratislava 214;Bratislava 214;č. 51;Bratislava
Pohánková;Pohánková;821 07;Bratislava 214;Bratislava 214;;Bratislava
Pohraničníkov;Pohraničníkov;851 10;Bratislava 59;Bratislava 59;;Bratislava
Pohronská;Pohronská;831 03;Bratislava 3;Bratislava 3;;Bratislava
Polárna;Polárna;821 02;Bratislava 3;Bratislava 3;;Bratislava
Polereckého;Polereckého;851 04;Bratislava 5;Bratislava 5;;Bratislava
Polianky;Polianky;841 01;Bratislava 42;Bratislava 42;;Bratislava
Poľná;Poľná;811 08;Bratislava 1;Bratislava 1;;Bratislava
Poľnohospodárska;Poľnohospodárska;821 07;Bratislava 214;Bratislava 214;;Bratislava
Poľný mlyn;Poľný mlyn;840 08;Bratislava 48;Bratislava 48;;Bratislava
Poľovnícka;Poľovnícka;821 09;Bratislava 3;Bratislava 3;;Bratislava
Poľská;Poľská;811 07;Bratislava 1;Bratislava 1;;Bratislava
Poludníková;Poludníková;821 02;Bratislava 3;Bratislava 3;;Bratislava
Poničanova;Poničanova;;;;pozri Jána Poničana;Bratislava
Poniklecová;Poniklecová;841 07;Bratislava 49;Bratislava 49;;Bratislava
Popolná;Popolná;831 06;Bratislava 35;Bratislava 35;;Bratislava
Popovova;Popovova;841 01;Bratislava 42;Bratislava 42;;Bratislava
Popradská;Popradská;821 06;Bratislava 214;Bratislava 214;;Bratislava
Porubského;Porubského;811 06;Bratislava 1;Bratislava 1;;Bratislava
Poštová;Poštová;811 06;Bratislava 1;Bratislava 1;;Bratislava
Potočná;Potočná;831 06;Bratislava 35;Bratislava 35;;Bratislava
Považanova;Považanova;841 02;Bratislava 42;Bratislava 42;;Bratislava
Považská;Považská;831 03;Bratislava 3;Bratislava 3;;Bratislava
Povoznícka;Povoznícka;841 03;Bratislava 42;Bratislava 42;;Bratislava
Povraznícka;Povraznícka;811 05;Bratislava 1;Bratislava 1;pár.č. 8-18;Bratislava
Povraznícka;Povraznícka;811 07;Bratislava 1;Bratislava 1;"nepár.č. 1, 5-15; párne č. 2-6";Bratislava
Požiarnická;Požiarnická;821 06;Bratislava 214;Bratislava 214;;Bratislava
Pôvabnicová;Pôvabnicová;841 04;Bratislava 4;Bratislava 4;;Bratislava
Pračanská;Pračanská;831 07;Bratislava 36;Bratislava 36;;Bratislava
Prasličková;Prasličková;821 07;Bratislava 214;Bratislava 214;;Bratislava
Pražská;Pražská;811 04;Bratislava 1;Bratislava 1;"č. 2,112; nepár.č. 1-39";Bratislava
Pražská;Pražská;831 01;Bratislava 37;Bratislava 37;pár.č. 2A, 2B, 4-8;Bratislava
Predstaničné námestie;Predstaničné námestie;811 04;Bratislava 1;Bratislava 1;;Bratislava
Prepoštská;Prepoštská;811 01;Bratislava 1;Bratislava 1;;Bratislava
Prešernova;Prešernova;811 02;Bratislava 1;Bratislava 1;;Bratislava
Prešovská;Prešovská;821 02;Bratislava 3;Bratislava 3;"nepár. č. 41-61;č. 38A,40C";Bratislava
Prešovská;Prešovská;821 02;Bratislava 3;Bratislava 3;"pár. č. 38-50, 50A,B;";Bratislava
Prešovská;Prešovská;821 08;Bratislava 3;Bratislava 3;"pár.č. 28-32; nepár.č. 27, 37, 39";Bratislava
Pri Bielom kríži;Pri Bielom kríži;831 02;Bratislava 3;Bratislava 3;;Bratislava
Pri Čiernom lese;Pri Čiernom lese;831 04;Bratislava 3;Bratislava 3;;Bratislava
Pri dvore;Pri dvore;831 04;Bratislava 3;Bratislava 3;;Bratislava
Pri Dynamitke;Pri Dynamitke;831 03;Bratislava 3;Bratislava 3;;Bratislava
Pri gaštanovej aleji;Pri gaštanovej aleji;851 10;Bratislava 59;Bratislava 59;;Bratislava
Pri Habánskom mlyne;Pri Habánskom mlyne;811 04;Bratislava 1;Bratislava 1;;Bratislava
Pri hradnej studni;Pri hradnej studni;811 03;Bratislava 1;Bratislava 1;;Bratislava
Pri hrádzi;Pri hrádzi;821 06;Bratislava 214;Bratislava 214;;Bratislava
Pri Hrubej lúke;Pri Hrubej lúke;841 02;Bratislava 42;Bratislava 42;;Bratislava
Pri Kolíske;Pri kolíske;831 06;Bratislava 35;Bratislava 35;;Bratislava
Pri kríži;Pri kríži;841 02;Bratislava 42;Bratislava 42;;Bratislava
Pri lesostepi;Pri lesostepi;841 10;Bratislava 49;Bratislava 49;;Bratislava
Pri letisku;Pri letisku;821 04;Bratislava 3;Bratislava 3;;Bratislava
Pri mlyne;Pri mlyne;831 07;Bratislava 36;Bratislava 36;;Bratislava
Pri nadjazde;Pri nadjazde;831 07;Bratislava 36;Bratislava 36;;Bratislava
Pri parku;Pri parku;841 10;Bratislava 49;Bratislava 49;;Bratislava
Pri pasienku;Pri pasienku;831 07;Bratislava 36;Bratislava 36;;Bratislava
Pri pastierni;Pri pastierni;831 07;Bratislava 36;Bratislava 36;;Bratislava
Pri pieskovom hone;Pri pieskovom hone;851 10;Bratislava 59;Bratislava 59;;Bratislava
Pri Rochu;Pri Rochu;841 07;Bratislava 49;Bratislava 49;;Bratislava
Pri Rusovskom ramene;Pri Rusovskom ramene;841 07;Bratislava 49;Bratislava 49;;Bratislava
Pri Seči;Pri seči;851 01;Bratislava 5;Bratislava 5;;Bratislava
Pri starej prachárni;Pri Starej Prachárni;831 04;Bratislava 3;Bratislava 3;;Bratislava
Pri Starom háji;Pri Starom háji;851 01;Bratislava 5;Bratislava 5;;Bratislava
Pri starom letisku;Pri starom letisku;831 07;Bratislava 36;Bratislava 36;;Bratislava
Pri starom mýte;Pri Starom Mýte;831 04;Bratislava 3;Bratislava 3;;Bratislava
Pri strelnici;Pri strelnici;821 04;Bratislava 3;Bratislava 3;;Bratislava
Pri Struhe;Pri Struhe;831 07;Bratislava 36;Bratislava 36;"pár.č. 14-48; nepár.č. 5-23";Bratislava
Pri Suchom mlyne;Pri Suchom mlyne;811 04;Bratislava 1;Bratislava 1;;Bratislava
Pri Šajbách;Pri Šajbách;831 06;Bratislava 35;Bratislava 35;;Bratislava
Pri šanci;Pri šanci;831 07;Bratislava 36;Bratislava 36;;Bratislava
Pri štadióne;Pri štadióne;841 01;Bratislava 42;Bratislava 42;;Bratislava
Pri tehelni;Pri tehelni;851 10;Bratislava 59;Bratislava 59;;Bratislava
Pri trati;Pri trati;821 06;Bratislava 214;Bratislava 214;;Bratislava
Pri Vápenickom potoku;Pri Vápenickom potoku;841 06;Bratislava 48;Bratislava 48;3,5,8,10,12,14,16,18,20,22,38,40,52,12A;Bratislava
Pri vinohradoch;Pri vinohradoch;831 06;Bratislava 35;Bratislava 35;;Bratislava
Pri vodárni;Pri vodárni;851 10;Bratislava 59;Bratislava 59;;Bratislava
Pri vodnej veži;Pri vodnej veži;;;;pozri Pri vodárni;Bratislava
Pri zvonici;Pri zvonici;821 04;Bratislava 3;Bratislava 3;;Bratislava
Pri žrebčíne;Pri žrebčíne;851 10;Bratislava 59;Bratislava 59;;Bratislava
Priama cesta;Priama cesta;841 10;Bratislava 49;Bratislava 49;;Bratislava
Pribinova;Pribinova;811 09;Bratislava 1;Bratislava 1;nepár.č.17-21,25;Bratislava
Pribinova;Pribinova;811 09;Bratislava 1;Bratislava 1;"pár.č. 2-22, 22A, 24A, 26-30; č.1,3,7;";Bratislava
Pribinova;Pribinova;821 09;Bratislava 3;Bratislava 3;č. 24,32;Bratislava
Pribišova;Pribišova;841 05;Bratislava 4;Bratislava 4;;Bratislava
Pribylinská;Pribylinská;831 04;Bratislava 3;Bratislava 3;;Bratislava
Pridánky;Pridánky;841 03;Bratislava 42;Bratislava 42;;Bratislava
Prídavková;Prídavkova;841 06;Bratislava 48;Bratislava 48;;Bratislava
Priečna;Priečna;831 03;Bratislava 3;Bratislava 3;;Bratislava
Priehradná;Priehradná;821 07;Bratislava 214;Bratislava 214;;Bratislava
Priekopnícka;Priekopnícka;821 06;Bratislava 214;Bratislava 214;;Bratislava
Priekopy;Priekopy;821 08;Bratislava 3;Bratislava 3;;Bratislava
Priemyselná;Priemyselná;821 08;Bratislava 3;Bratislava 3;č. 1A, 2, 4;Bratislava
Priemyselná;Priemyselná;821 09;Bratislava 3;Bratislava 3;nepár.č. 1-9, čísla 6,10, 20;Bratislava
Prievozská;Prievozská;821 05;Bratislava 3;Bratislava 3;pár. č. 28-38, 14;Bratislava
Prievozská;Prievozská;821 09;Bratislava 3;Bratislava 3;"nepár.č.1-27, 11A, 13A,B, 17A,B, 31-41,49;";Bratislava
Prievozská;Prievozská;821 09;Bratislava 3;Bratislava 3;pár.č. 4, 4A,B,C,D, 6-26, 2A,B, 6A, 14A;Bratislava
Príjazdná;Príjazdná;831 07;Bratislava 36;Bratislava 36;;Bratislava
Príkopova;Príkopova;831 03;Bratislava 3;Bratislava 3;;Bratislava
Primaciálne námestie;Primaciálne námestie;811 01;Bratislava 1;Bratislava 1;;Bratislava
Prímoravská;Prímoravská;841 07;Bratislava 49;Bratislava 49;;Bratislava
Prípojná;Prípojná;821 06;Bratislava 214;Bratislava 214;;Bratislava
Prístav;Prístav;821 09;Bratislava 3;Bratislava 3;;Bratislava
Prístavná;Prístavná;821 09;Bratislava 3;Bratislava 3;;Bratislava
Prokofievova;Prokofievova;851 01;Bratislava 5;Bratislava 5;;Bratislava
Prokopa Veľkého;Prokopa Veľkého;811 04;Bratislava 1;Bratislava 1;;Bratislava
Prokopova;Prokopova;851 01;Bratislava 5;Bratislava 5;;Bratislava
Prúdová;Prúdová;821 05;Bratislava 3;Bratislava 3;;Bratislava
Prvá;Prvá;831 01;Bratislava 37;Bratislava 37;;Bratislava
Prvosienková;Prvosienková;811 02;Bratislava 1;Bratislava 1;;Bratislava
Pšeničná;Pšeničná;821 06;Bratislava 214;Bratislava 214;;Bratislava
Púchovská;Púchovská;831 06;Bratislava 35;Bratislava 35;;Bratislava
Púpavová;Púpavová;841 04;Bratislava 4;Bratislava 4;;Bratislava
Pustá;Pustá;841 04;Bratislava 4;Bratislava 4;;Bratislava
Puškinova;Puškinova;811 04;Bratislava 1;Bratislava 1;;Bratislava
Pútnická;Pútnická;841 06;Bratislava 48;Bratislava 48;;Bratislava
Pyrenejská;Pyrenejská;831 01;Bratislava 37;Bratislava 37;;Bratislava
Rácova;Rácova;841 03;Bratislava 42;Bratislava 42;;Bratislava
Rača;Rača;831 06;Bratislava 35;Bratislava 35;č. 9213;Bratislava
Račianska;Račianska;831 02;Bratislava 3;Bratislava 3;"nepár.č.1-141,53A,B,107A,109A-C;";Bratislava
Račianska;Račianska;831 02;Bratislava 3;Bratislava 3;pár.č. 2-96, 22A,30A, 42A,  62A,B;Bratislava
Račianska;Račianska;831 06;Bratislava 35;Bratislava 35;č. 190;Bratislava
Račianska;Račianska;831 53;Bratislava 35;Bratislava 35;nepár.č.143, 145,147, 151, 153, pár.č. 182-188;Bratislava
Račianska;Račianska;831 54;Bratislava 35;Bratislava 35;nepár.č. 143A, 149, 157-161,;Bratislava
Račianska;Račianska;831 54;Bratislava 35;Bratislava 35;pár.č. 98-178,184A,B,D, 8030;Bratislava
Račianske mýto;Račianske mýto;831 02;Bratislava 3;Bratislava 3;;Bratislava
Radarová;Radarová;821 02;Bratislava 3;Bratislava 3;;Bratislava
Rádiová;Rádiová;821 04;Bratislava 3;Bratislava 3;;Bratislava
Radlinského;Radlinského;811 07;Bratislava 1;Bratislava 1;;Bratislava
Radničná;Radničná;811 01;Bratislava 1;Bratislava 1;;Bratislava
Radničné námestie;Radničné námestie;821 05;Bratislava 3;Bratislava 3;;Bratislava
Radoslava Hošeka;Radoslava Hošeka;851 10;Bratislava 59;Bratislava 59;;Bratislava
Radvanská;Radvanská;811 01;Bratislava 1;Bratislava 1;;Bratislava
Rajčianska;Rajčianska;821 07;Bratislava 214;Bratislava 214;;Bratislava
Rajecká;Rajecká;821 07;Bratislava 214;Bratislava 214;;Bratislava
Rajská;Rajská;811 08;Bratislava 1;Bratislava 1;;Bratislava
Rajtákova;Rajtákova;841 03;Bratislava 42;Bratislava 42;;Bratislava
Raketová;Raketová;821 02;Bratislava 3;Bratislava 3;;Bratislava
Rákosová;Rákosová;821 05;Bratislava 3;Bratislava 3;;Bratislava
Rakova;Rakova;;;;pozri Jána Raka;Bratislava
Rakytníková;Rakytníková;851 10;Bratislava 59;Bratislava 59;;Bratislava
Rascová;Rascová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Rastislavova;Rastislavova;821 08;Bratislava 3;Bratislava 3;;Bratislava
Rastlinná;Rastlinná;851 10;Bratislava 59;Bratislava 59;;Bratislava
Rašelinová;Rašelinová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Rašu;Rašu;;;;pozri Kpt. Rašu;Bratislava
Ráztočná;Ráztočná;821 07;Bratislava 214;Bratislava 214;;Bratislava
Rázusovo nábrežie;Rázusovo nábrežie;811 02;Bratislava 1;Bratislava 1;;Bratislava
Ražná;Ražná;851 10;Bratislava 59;Bratislava 59;;Bratislava
Rebarborová;Rebarborová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Rebríčková;Rebríčková;851 10;Bratislava 59;Bratislava 59;;Bratislava
Regrútska;Regrútska;831 06;Bratislava 35;Bratislava 35;;Bratislava
Remeselnícka;Remeselnícka;831 06;Bratislava 35;Bratislava 35;;Bratislava
Repašského;Repašského;841 02;Bratislava 42;Bratislava 42;;Bratislava
Repíková;Repíková;821 07;Bratislava 214;Bratislava 214;;Bratislava
Repková;Repková;851 10;Bratislava 59;Bratislava 59;;Bratislava
Repná;Repná;821 04;Bratislava 3;Bratislava 3;;Bratislava
Rešetkova;Rešetkova;831 03;Bratislava 3;Bratislava 3;;Bratislava
Revolučná;Revolučná;821 04;Bratislava 3;Bratislava 3;;Bratislava
Révová;Révová;811 02;Bratislava 1;Bratislava 1;;Bratislava
Revúcka;Revúcka;821 08;Bratislava 3;Bratislava 3;;Bratislava
Rezedová;Rezedová;821 01;Bratislava 3;Bratislava 3;;Bratislava
Riazanská;Riazanská;831 02;Bratislava 3;Bratislava 3;"nepár.č. 77-83, 87; pár.č. 76-112";Bratislava
Riazanská;Riazanská;831 03;Bratislava 3;Bratislava 3;"nepár.č. 1-75; pár.č. 2-74";Bratislava
Ribayova;Ribayova;821 04;Bratislava 3;Bratislava 3;1-15,17,19,21,23,25,27;Bratislava
Ríbezľová;Ríbezľová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Riečna;Riečna;811 02;Bratislava 1;Bratislava 1;;Bratislava
Rigeleho;Rigeleho;811 02;Bratislava 1;Bratislava 1;;Bratislava
Rímska;Rímska;841 10;Bratislava 49;Bratislava 49;;Bratislava
Rizlingová;Rízlingová;831 02;Bratislava 3;Bratislava 3;1 až 30;Bratislava
Riznerova;Riznerova;811 01;Bratislava 1;Bratislava 1;;Bratislava
Robotnícka;Robotnícka;831 03;Bratislava 3;Bratislava 3;;Bratislava
Rodinové námestie;Rodinové námestie;;;;pozri Námestie Rodiny;Bratislava
Roľnícka;Roľnícka;831 07;Bratislava 36;Bratislava 36;;Bratislava
Romanova;Romanova;851 02;Bratislava 5;Bratislava 5;;Bratislava
Rőntgenova;Röntgenova;851 01;Bratislava 5;Bratislava 5;;Bratislava
Rosná;Rosná;821 05;Bratislava 3;Bratislava 3;;Bratislava
Rostovská;Rostovská;831 06;Bratislava 35;Bratislava 35;;Bratislava
Rošického;Rošického;841 06;Bratislava 48;Bratislava 48;;Bratislava
Rovná;Rovná;821 05;Bratislava 3;Bratislava 3;;Bratislava
Rovniankova;Rovniankova;851 02;Bratislava 5;Bratislava 5;;Bratislava
Rovníková;Rovníková;821 02;Bratislava 3;Bratislava 3;;Bratislava
Royova;Royova;831 01;Bratislava 37;Bratislava 37;;Bratislava
Rozálska;Rozálska;841 03;Bratislava 42;Bratislava 42;;Bratislava
Rozmarínová;Rozmarínová;821 04;Bratislava 3;Bratislava 3;;Bratislava
Rozvodná;Rozvodná;831 01;Bratislava 37;Bratislava 37;;Bratislava
Rožňavská;Rožňavská;821 01;Bratislava 3;Bratislava 3;č. 2, 4;Bratislava
Rožňavská;Rožňavská;821 04;Bratislava 3;Bratislava 3;pár. č. 6-12, 24-36, 24A, 30A;Bratislava
Rožňavská;Rožňavská;831 04;Bratislava 3;Bratislava 3;nepár. č. 1-11, 17-21, 17A, 25;Bratislava
Rubinetová;Rubinetová;831 02;Bratislava 3;Bratislava 3;;Bratislava
Rubínová;Rubínová;831 52;Bratislava 35;Bratislava 35;č. 5,7, 2 až 54;Bratislava
Rubinsteinova;Rubinsteinova;811 02;Bratislava 1;Bratislava 1;;Bratislava
Rudavská;Rudavská;841 06;Bratislava 48;Bratislava 48;;Bratislava
Rudnayovo námestie;Rudnayovo námestie;811 01;Bratislava 1;Bratislava 1;;Bratislava
Rudnícka;Rudnícka;831 06;Bratislava 35;Bratislava 35;;Bratislava
Rulandská;Rulandská;831 01;Bratislava 37;Bratislava 37;;Bratislava
Rumančeková;Rumančeková;821 01;Bratislava 3;Bratislava 3;;Bratislava
Rumunská;Rumunská;831 06;Bratislava 35;Bratislava 35;;Bratislava
Rusovce;Rusovce;850 09;Bratislava 59;Bratislava 59;;Bratislava
Rusovská cesta;Rusovská cesta;851 01;Bratislava 5;Bratislava 5;;Bratislava
Rustaveliho;Rustaveliho;831 06;Bratislava 35;Bratislava 35;;Bratislava
Ružičková;Ružičková;821 05;Bratislava 3;Bratislava 3;;Bratislava
Ružinovská;Ružinovská;821 01;Bratislava 3;Bratislava 3;pár.č. 2-14;Bratislava
Ružinovská;Ružinovská;821 02;Bratislava 3;Bratislava 3;nepár.č. 1-9, 1A-D;Bratislava
Ružinovská;Ružinovská;821 03;Bratislava 3;Bratislava 3;č. 28, 40, 42;Bratislava
Ružomberská;Ružomberská;821 05;Bratislava 3;Bratislava 3;;Bratislava
Ružová dolina;Ružová dolina;821 08;Bratislava 3;Bratislava 3;"nepár.č 1-21; pár.č. 2-6";Bratislava
Ružová dolina;Ružová dolina;821 09;Bratislava 3;Bratislava 3;"nepár.č. 23-33; pár.č. 8-28, 21A-E";Bratislava
Rybárska brána;Rybárska brána;811 01;Bratislava 1;Bratislava 1;;Bratislava
Rybné námestie;Rybné námestie;811 02;Bratislava 1;Bratislava 1;;Bratislava
Rybničná;Rybničná;831 06;Bratislava 35;Bratislava 35;nepár.č. 49,57,59,61,61A,B;Bratislava
Rybničná;Rybničná;831 06;Bratislava 35;Bratislava 35;pár.č.30-40,34E,36A-J, 38A-S,40B-F, 40K;Bratislava
Rybničná;Rybničná;831 07;Bratislava 36;Bratislava 36;"nepár.č. 1-43; pár.č. 2-28, 2A,16A, 20A";Bratislava
Rýdziková;Rýdziková;841 04;Bratislava 4;Bratislava 4;;Bratislava
Rýnska;Rýnska;831 06;Bratislava 35;Bratislava 35;;Bratislava
Rytierska;Rytierska;841 10;Bratislava 49;Bratislava 49;;Bratislava
Sabinovská;Sabinovská;821 02;Bratislava 3;Bratislava 3;pár.č. 2-16, 14A, čísla 3, 5;Bratislava
Sabinovská;Sabinovská;821 03;Bratislava 3;Bratislava 3;nepár.č. 3A,B, 7-11, 15;Bratislava
Sad Janka Kráľa;Sad J. Kráľa;851 01;Bratislava 5;Bratislava 5;;Bratislava
Sadmelijská;Sadmelijská;831 06;Bratislava 35;Bratislava 35;;Bratislava
Sadová;Sadová;831 03;Bratislava 3;Bratislava 3;;Bratislava
Samova;Samova;841 07;Bratislava 49;Bratislava 49;;Bratislava
Saratovská;Saratovská;841 02;Bratislava 42;Bratislava 42;;Bratislava
Sárova;Sárova;;;;pozri Ladislava Sáru;Bratislava
Sartorisova;Sartorisova;821 08;Bratislava 3;Bratislava 3;;Bratislava
Sasanková;Sasanková;821 07;Bratislava 214;Bratislava 214;;Bratislava
Sasinkova;Sasinkova;811 08;Bratislava 1;Bratislava 1;;Bratislava
Satinského;Satinského;811 08;Bratislava 1;Bratislava 1;;Bratislava
Savignonská;Savignonská;831 52;Bratislava 35;Bratislava 35;;Bratislava
Seberíniho;Seberíniho;821 03;Bratislava 3;Bratislava 3;;Bratislava
Sečovská;Sečovská;821 02;Bratislava 3;Bratislava 3;;Bratislava
Sedlárska;Sedlárska;811 01;Bratislava 1;Bratislava 1;;Bratislava
Sedmokrásková;Sedmokrásková;821 01;Bratislava 3;Bratislava 3;;Bratislava
Segnáre;Segnáre;841 03;Bratislava 42;Bratislava 42;;Bratislava
Segnerova;Segnerova;841 04;Bratislava 4;Bratislava 4;;Bratislava
Sekulská;Sekulská;841 04;Bratislava 4;Bratislava 4;;Bratislava
Sekurisova;Sekurisova;841 02;Bratislava 42;Bratislava 42;;Bratislava
Sekýľska;Sekýľska;841 06;Bratislava 48;Bratislava 48;;Bratislava
Semenárska;Semenárska;851 10;Bratislava 59;Bratislava 59;;Bratislava
Semianova;Semianova;831 03;Bratislava 3;Bratislava 3;;Bratislava
Semilonská;Semilonská;831 52;Bratislava 35;Bratislava 35;;Bratislava
Senecká cesta;Senecká;;;;pozri Cesta na Senec;Bratislava
Senická;Senická;811 04;Bratislava 1;Bratislava 1;;Bratislava
Senná;Senná;821 05;Bratislava 3;Bratislava 3;;Bratislava
Septimiova;Septimiova;851 10;Bratislava 59;Bratislava 59;;Bratislava
Severovcov;Severovcov;851 10;Bratislava 59;Bratislava 59;;Bratislava
Schengenská;Schengenská;851 10;Bratislava 59;Bratislava 59;;Bratislava
Schillerova;Schillerova;811 04;Bratislava 1;Bratislava 1;;Bratislava
Schneidera -Trnavského;Schneidera -Trnavského;;;;pozri Mikuláša Schneidera-Trnavského;Bratislava
Schody pri starej vodárni;Schody pri starej vodárni;811 01;Bratislava 1;Bratislava 1;;Bratislava
Sibírska;Sibírska;831 02;Bratislava 3;Bratislava 3;;Bratislava
Siedma;Siedma;831 01;Bratislava 37;Bratislava 37;;Bratislava
Sienkiewiczova;Sienkiewiczova;811 09;Bratislava 1;Bratislava 1;;Bratislava
Silvánska;Silvánska;841 04;Bratislava 4;Bratislava 4;;Bratislava
Sinokvetná;Sinokvetná;821 05;Bratislava 3;Bratislava 3;;Bratislava
Sitnianska;Sitnianska;851 07;Bratislava 5;Bratislava 5;;Bratislava
Skalická cesta;Skalická cesta;831 02;Bratislava 3;Bratislava 3;;Bratislava
Skalná;Skalná;811 01;Bratislava 1;Bratislava 1;;Bratislava
Skerličova;Skerličova;841 03;Bratislava 42;Bratislava 42;;Bratislava
Sklabinská;Sklabinská;831 06;Bratislava 35;Bratislava 35;;Bratislava
